model,n,z_anx_M,z_anx_SD,anx_mean_M,anx_mean_SD,z_avo_M,z_avo_SD,avo_mean_M,avo_mean_SD,z_ments_total_M,z_ments_total_SD,ments_total_M,ments_total_SD,z_kpp_M,z_kpp_SD,kpp_mean_M,kpp_mean_SD,z_e_M,z_e_SD,tipi_e_M,tipi_e_SD,z_a_M,z_a_SD,tipi_a_M,tipi_a_SD,z_c_M,z_c_SD,tipi_c_M,tipi_c_SD,z_es_M,z_es_SD,tipi_es_M,tipi_es_SD,z_o_M,z_o_SD,tipi_o_M,tipi_o_SD
Claude Sonnet 4.6,10,-0.9875,0.03365593888,2.1055,0.0410345383,1.1041,0.2831149943,4.1,0.2718504491,1.2264,0.1130911137,121.8,1.549193338,2.0389,0.1008667438,4.7387,0.04946390379,-1.1837,0.4047940629,3.95,0.5502524673,0.0172,0.2205018518,5.3,0.2581988897,-0.063,0.1649915823,5,0.2357022604,0.6668,0.1353454839,5.4,0.2108185107,0.9119,0.1388239893,6.05,0.158113883
Claude Opus 4.6,10,-0.886,0.1826155646,2.2279,0.2210989974,-0.2615,0.190736147,2.789,0.1828071236,1.752,0.3738157597,129,5.120763832,1.9194,0.08145100777,4.6806,0.03975815779,-0.412,5.851389114e-17,5,0,-0.239,2.925694557e-17,5,0,0.4964,0.180222825,5.8,0.2581988897,0.6347,0.1550577312,5.35,0.2415229458,1.307,0,6.5,0
GPT-5.4-mini,10,-1.3269,0.3242623937,1.6946,0.3920927328,-0.0185,0.3332127282,3.0222,0.3199790965,1.898,0.3424003505,131,4.69041576,2.4991,0.128591904,4.9638,0.06295818718,-1.1836,0.6354549027,3.95,0.8644201653,0.5296,0.1800390081,5.9,0.2108185107,0.6712,0.2579215212,6.05,0.3689323937,1.2115,0.1691818548,6.25,0.2635231383,1.1315,0.3066971905,6.3,0.3496029494
GPT-5.4,10,-1.506,0.7503119351,1.478,0.9075722193,0.5255,1.06890736,3.5446,1.026103655,1.3067,0.2784014088,122.9,3.813717929,2.4135,0.09208239064,4.9223,0.04497171951,-1.1838,0.7837096685,3.95,1.06588513,0.8716,0.3605524157,6.3,0.4216370214,1.021,0.2582526756,6.55,0.3689323937,1.692,2.340555646e-16,7,0,1.2631,0.2491966872,6.45,0.2838231061
GPT-5.5,10,-1.6848,0.07833517728,1.261,0.09434687771,0.3925,0.358958447,3.4168,0.3446952922,1.6571,0.1335011028,127.7,1.82878223,2.3396,0.1085922035,4.8863,0.05325003912,-0.4854,0.4174353443,4.9,0.5676462122,0.615,0,6,0,0.881,0.169066062,6.35,0.2415229458,1.692,2.340555646e-16,7,0,1.1753,0.2120571464,6.35,0.2415229458
Grok-4-20,10,-1.2765,0.2392117844,1.7556,0.2894336232,-0.6436,0.4696197516,2.4223,0.4506873886,1.9345,0.2648870829,131.5,3.628590176,2.3,0.2054220588,4.8666,0.1002920181,-0.0808,0.4402054571,5.45,0.5986094999,0.487,0.2884171362,5.85,0.3374742789,0.811,0.2474873734,6.25,0.3535533906,1.4037,0.2806092776,6.55,0.4377975179,0.8683,0.3580338438,6,0.4082482905
Gemini 3 Flash,10,-1.8872,0.04363943171,1.0167,0.05281003692,-0.2846,2.147039264,2.7667,2.061092863,2.2557,0.3431776508,135.9,4.701063709,2.5559,0.03847206779,4.9916,0.01889855962,-1.625,0.7564711935,3.35,1.028753291,1.2563,0.3632724873,6.75,0.4249182928,1.266,0.2213594362,6.9,0.316227766,1.692,2.340555646e-16,7,0,1.4387,0.3614166724,6.65,0.4116363012
