model,weeks_apart,n_personas,median_r,min_r,r_z_anx,r_z_avo,r_z_ments_total,r_z_kpp,r_z_e,r_z_a,r_z_c,r_z_es,r_z_o
Claude Sonnet 4.6,8,30,0.994362549,0.9690512559,0.9958475621,0.998331132,0.9953657728,0.9936223023,0.994362549,0.9690512559,0.9911645557,0.9960599743,0.988912625
Claude Opus 4.6,8,30,0.9908593162,0.9786819795,0.9908593162,0.9951189006,0.9942223524,0.9899069047,0.9945591301,0.9786819795,0.9905401873,0.9958394763,0.9873879885
GPT-5.4-mini,7,30,0.9163825913,0.8602832403,0.9019264689,0.8602832403,0.8780217997,0.9163825913,0.9661578028,0.9404797287,0.9605808345,0.9231183744,0.8881621217
GPT-5.4,0.5,30,0.987941854,0.9526918816,0.9943643759,0.987941854,0.9806036233,0.9863487266,0.993014005,0.9526918816,0.9893203525,0.9890549368,0.9718020427
GPT-5.5,7,30,0.9937498369,0.9719452655,0.9937032044,0.9966789477,0.9961647086,0.9941388621,0.9880508173,0.9719452655,0.9937498369,0.9975084132,0.9809403969
Grok-4-20,7,30,0.9728396053,0.8498292977,0.9886589128,0.9808731183,0.9686995938,0.9728396053,0.9748380592,0.8498292977,0.9615759351,0.985814129,0.9665954769
Gemini 3 Flash,8,30,0.9796279558,0.9304943892,0.9762319989,0.9796279558,0.9651405504,0.986639329,0.982120778,0.9304943892,0.9925562201,0.9892223166,0.9661187452
