model,median_r,median_ccc,min_ccc,min_ccc_dim,r_z_anx,r_z_avo,r_z_ments_total,r_z_kpp,r_z_e,r_z_a,r_z_c,r_z_es,r_z_o,ccc_z_anx,ccc_z_avo,ccc_z_ments_total,ccc_z_kpp,ccc_z_e,ccc_z_a,ccc_z_c,ccc_z_es,ccc_z_o
Claude Sonnet 4.6,0.994362549,0.9934694815,0.9662962426,TIPI A,0.9958475621,0.998331132,0.9953657728,0.9936223023,0.994362549,0.9690512559,0.9911645557,0.9960599743,0.988912625,0.9951631278,0.9978647487,0.9947577509,0.9928025673,0.9934694815,0.9662962426,0.989440107,0.9942691358,0.9887861615
Claude Opus 4.6,0.9908593162,0.9901429077,0.9782926685,TIPI A,0.9908593162,0.9951189006,0.9942223524,0.9899069047,0.9945591301,0.9786819795,0.9905401873,0.9958394763,0.9873879885,0.9894347937,0.991533301,0.9908069169,0.9897125371,0.9940628853,0.9782926685,0.9901429077,0.9951147833,0.9872172598
GPT-5.4-mini,0.9163825913,0.8639681937,0.5560491432,DBZ-R Avo,0.9019264689,0.8602832403,0.8780217997,0.9163825913,0.9661578028,0.9404797287,0.9605808345,0.9231183744,0.8881621217,0.8345783439,0.5560491432,0.7212029416,0.7695679055,0.9354983172,0.929984307,0.9403258212,0.885749183,0.8639681937
GPT-5.4,0.987941854,0.9851742402,0.9342147294,TIPI A,0.9943643759,0.987941854,0.9806036233,0.9863487266,0.993014005,0.9526918816,0.9893203525,0.9890549368,0.9718020427,0.9936867523,0.9851742402,0.9796195729,0.9839629355,0.9903417516,0.9342147294,0.988102716,0.9885331206,0.9711335282
GPT-5.5,0.9937498369,0.9931972996,0.9714793267,TIPI A,0.9937032044,0.9966789477,0.9961647086,0.9941388621,0.9880508173,0.9719452655,0.9937498369,0.9975084132,0.9809403969,0.9931972996,0.9961222215,0.9960145776,0.9935981007,0.9874935468,0.9714793267,0.9929201578,0.9975048921,0.9798555462
Grok-4-20,0.9728396053,0.9705832784,0.8481073672,TIPI A,0.9886589128,0.9808731183,0.9686995938,0.9728396053,0.9748380592,0.8498292977,0.9615759351,0.985814129,0.9665954769,0.9858966556,0.9798485165,0.9685918765,0.9705832784,0.9737158878,0.8481073672,0.9567582375,0.9848072677,0.961951048
Gemini 3 Flash,0.9796279558,0.9785381177,0.9189581067,TIPI A,0.9762319989,0.9796279558,0.9651405504,0.986639329,0.982120778,0.9304943892,0.9925562201,0.9892223166,0.9661187452,0.9758791748,0.9785381177,0.9650262156,0.9833716792,0.981773059,0.9189581067,0.9917243967,0.9887025085,0.9655342785
