model,matches,n,accuracy,wilson_lo,wilson_hi
Claude Sonnet 4.6,23,30,0.7666666666666667,0.5907167384187784,0.8820761185551049
Claude Opus 4.6,25,30,0.8333333333333334,0.6643564949358398,0.9266345762815145
GPT-5.4-mini,29,30,0.9666666666666667,0.8332960900859082,0.9940914096183874
GPT-5.4,26,30,0.8666666666666667,0.703186733179637,0.9469034451594526
GPT-5.5,26,30,0.8666666666666667,0.703186733179637,0.9469034451594526
Grok-4-20,26,30,0.8666666666666667,0.703186733179637,0.9469034451594526
Gemini 3 Flash,25,30,0.8333333333333334,0.6643564949358398,0.9266345762815145
