model_1,model_2,n_personas,median_r,min_r,max_r,r_z_anx,r_z_avo,r_z_ments_total,r_z_kpp,r_z_e,r_z_a,r_z_c,r_z_es,r_z_o
GPT-5.5,Gemini 3 Flash,30,0.9689244793,0.9091556174,0.9798960798,0.9648212508,0.9716403001,0.9271169745,0.9720310379,0.977445879,0.9091556174,0.9689244793,0.9798960798,0.9416875481
Grok-4-20,Claude Sonnet 4.6,30,0.9667503445,0.8307528141,0.9847461451,0.942424926,0.9723398126,0.9667503445,0.9677832983,0.9714936855,0.8307528141,0.9544167604,0.9847461451,0.9285939596
Grok-4-20,Claude Opus 4.6,30,0.9607792467,0.785758675,0.9782059518,0.9607792467,0.9770974836,0.939979693,0.9194784765,0.9782059518,0.785758675,0.9608186938,0.9677130235,0.9030596835
Grok-4-20,GPT-5.4-mini,30,0.951419295,0.8005705285,0.9711634857,0.9678631309,0.9599810019,0.9420436809,0.922898056,0.963398058,0.8005705285,0.9711634857,0.951419295,0.8880813468
Grok-4-20,GPT-5.4,30,0.9649063655,0.818307045,0.9753519357,0.9631972699,0.9677139109,0.93711151,0.9753519357,0.9745942705,0.818307045,0.9649063655,0.9688650313,0.8816856619
Grok-4-20,GPT-5.5,30,0.9684448153,0.8113720019,0.9806521987,0.9684448153,0.9806521987,0.9253573563,0.9760168406,0.9762708204,0.8113720019,0.97256507,0.9681761571,0.9172761344
Grok-4-20,Gemini 3 Flash,30,0.9669924753,0.817207156,0.9850058625,0.9703219718,0.9682596271,0.8759909382,0.982987718,0.9850058625,0.817207156,0.9669924753,0.9657445384,0.90072597
Gemini 3 Flash,Claude Sonnet 4.6,30,0.9476086963,0.8816947634,0.9789953529,0.9381093485,0.9789953529,0.9173653611,0.9656079903,0.9668977055,0.8816947634,0.920148925,0.9652914718,0.9476086963
Gemini 3 Flash,Claude Opus 4.6,30,0.9535754732,0.9005339932,0.9815106971,0.9564938994,0.9648305234,0.9033477847,0.9065453594,0.9753182326,0.9005339932,0.9405872174,0.9815106971,0.9535754732
Gemini 3 Flash,GPT-5.4-mini,30,0.9467746465,0.8000022079,0.9622274073,0.9622274073,0.9537571584,0.9226144786,0.9302733835,0.9467746465,0.8000022079,0.9545570691,0.955047697,0.933416312
Gemini 3 Flash,GPT-5.4,30,0.9718007833,0.8743837055,0.9822922739,0.9650670512,0.9718007833,0.9078457072,0.9763298235,0.9820998946,0.8743837055,0.9736951008,0.9822922739,0.9533459514
Gemini 3 Flash,GPT-5.5,30,0.9689244793,0.9091556174,0.9798960798,0.9648212508,0.9716403001,0.9271169745,0.9720310379,0.977445879,0.9091556174,0.9689244793,0.9798960798,0.9416875481
Gemini 3 Flash,Grok-4-20,30,0.9669924753,0.817207156,0.9850058625,0.9703219718,0.9682596271,0.8759909382,0.982987718,0.9850058625,0.817207156,0.9669924753,0.9657445384,0.90072597
